City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,44.47,91,84,2.37,broken clouds
1,Thompson,CA,55.7435,-97.8558,84.36,32,20,12.66,smoke
2,Oistins,BB,13.0667,-59.5333,80.69,78,40,10.36,scattered clouds
3,Busselton,AU,-33.65,115.3333,54.45,56,94,9.01,overcast clouds
4,Vestmannaeyjar,IS,63.4427,-20.2734,53.94,91,92,5.93,overcast clouds
5,Praia Da Vitoria,PT,38.7333,-27.0667,74.75,100,90,14.99,overcast clouds
6,Esil,KZ,51.9556,66.4042,70.72,64,6,6.78,clear sky
7,Hermanus,ZA,-34.4187,19.2345,56.89,80,95,0.54,overcast clouds
8,Klaksvik,FO,62.2266,-6.589,47.32,81,65,6.73,broken clouds
9,Champerico,GT,14.3,-91.9167,90.14,74,86,4.45,overcast clouds
10,Cape Town,ZA,-33.9258,18.4232,57.88,80,20,3.0,few clouds
11,Georgetown,MY,5.4112,100.3354,75.88,92,20,0.0,few clouds
12,Henties Bay,NA,-22.116,14.2845,71.85,44,0,3.11,clear sky
13,Muisne,EC,0.6,-80.0333,76.24,84,66,10.25,broken clouds
14,Tuatapere,NZ,-46.1333,167.6833,44.82,91,100,2.59,moderate rain
15,Cayenne,GF,4.9333,-52.3333,83.08,80,0,1.99,clear sky
16,Porbandar,IN,21.6422,69.6093,81.23,83,100,20.65,overcast clouds
17,Tasiilaq,GL,65.6145,-37.6368,51.96,77,50,4.88,scattered clouds
18,Andenes,NO,69.3143,16.1194,46.38,87,90,11.5,light rain
19,Saskylakh,RU,71.9167,114.0833,74.61,42,0,3.47,clear sky
20,Norman Wells,CA,65.282,-126.8329,91.44,19,20,3.44,smoke
21,Saint-Philippe,RE,-21.3585,55.7679,67.55,76,49,7.78,scattered clouds
22,Terra Nova,BR,-12.3667,-40.6667,63.18,69,95,5.55,overcast clouds
23,Hobart,AU,-42.8794,147.3294,42.06,83,75,3.0,broken clouds
24,Rikitea,PF,-23.1203,-134.9692,69.1,57,42,20.92,scattered clouds
25,Bluff,NZ,-46.6,168.3333,44.8,82,98,6.35,overcast clouds
26,Beloha,MG,-25.1667,45.05,65.21,58,0,7.4,clear sky
27,Leningradskiy,RU,69.3833,178.4167,34.86,97,100,18.45,light rain
28,Yerbogachen,RU,61.2767,108.0108,62.26,62,100,5.64,overcast clouds
29,Bengkulu,ID,-3.8004,102.2655,73.58,90,95,4.07,overcast clouds
30,Podor,MR,16.6527,-14.9587,91.35,49,0,2.3,clear sky
31,Tuktoyaktuk,CA,69.4541,-133.0374,60.8,88,90,11.5,overcast clouds
32,Vanavara,RU,60.34,102.2797,59.18,61,41,4.21,scattered clouds
33,Saldanha,ZA,-33.0117,17.9442,46.45,86,59,8.37,broken clouds
34,Mahebourg,MU,-20.4081,57.7,68.29,88,75,6.91,broken clouds
35,Nichinan,JP,31.6,131.3667,82.08,82,67,3.0,broken clouds
36,Deogarh,IN,21.5333,84.7333,74.28,91,96,3.8,overcast clouds
37,Half Moon Bay,US,37.4636,-122.4286,88.92,62,20,1.01,few clouds
38,Neutraubling,DE,48.9833,12.2,59.88,90,100,5.97,overcast clouds
39,Husavik,IS,66.0449,-17.3389,53.51,72,62,1.54,broken clouds
40,Albany,US,42.6001,-73.9662,70.09,91,89,6.73,light rain
41,Chumikan,RU,54.7183,135.315,55.83,79,100,2.44,overcast clouds
42,Aanekoski,FI,62.6946,25.818,57.85,100,39,3.91,scattered clouds
43,Koani,TZ,-6.1333,39.2833,71.29,85,35,7.34,scattered clouds
44,Hithadhoo,MV,-0.6,73.0833,81.34,71,92,7.78,overcast clouds
45,Eyl,SO,7.9803,49.8164,81.39,65,45,30.4,scattered clouds
46,Peruibe,BR,-24.32,-46.9983,60.93,92,94,3.0,overcast clouds
47,Castro,BR,-24.7911,-50.0119,47.48,88,69,2.57,broken clouds
48,Naze,JP,28.3667,129.4833,83.32,86,91,13.87,overcast clouds
49,Argelia,CO,2.2556,-77.2488,69.44,76,29,3.87,scattered clouds
50,San Jose,US,37.3394,-121.895,90.52,51,20,11.5,few clouds
51,Jalingo,NG,8.8833,11.3667,72.64,95,100,3.94,light rain
52,Sibolga,ID,1.7427,98.7792,74.71,87,100,2.08,overcast clouds
53,Santo Antonio Do Ica,BR,-3.1022,-67.9397,71.64,74,72,2.21,broken clouds
54,Barrow,US,71.2906,-156.7887,50.02,77,90,11.5,overcast clouds
55,Severo-Kurilsk,RU,50.6789,156.125,56.35,70,1,14.63,clear sky
56,Grindavik,IS,63.8424,-22.4338,53.56,93,90,3.44,overcast clouds
57,San Juan De La Maguana,DO,18.8059,-71.2299,80.08,78,93,9.48,overcast clouds
58,Anadyr,RU,64.75,177.4833,48.7,76,40,6.71,scattered clouds
59,Dikson,RU,73.5069,80.5464,40.12,99,98,9.08,overcast clouds
60,Ushuaia,AR,-54.8,-68.3,46.06,46,40,31.07,scattered clouds
61,Tautira,PF,-17.7333,-149.15,82.42,64,35,7.14,scattered clouds
62,Inuvik,CA,68.3499,-133.7218,81.36,36,75,14.97,broken clouds
63,Vadso,NO,70.0744,29.7487,56.28,99,100,4.56,light rain
64,Fethiye,TR,36.6217,29.1164,76.87,27,0,8.61,clear sky
65,Puerto Ayora,EC,-0.7393,-90.3518,71.55,91,53,5.01,broken clouds
66,Yate,GB,51.5407,-2.4184,59.92,85,55,4.47,broken clouds
67,Coihaique,CL,-45.5752,-72.0662,49.95,71,75,4.61,light rain
68,Abu Zabad,SD,12.35,29.25,74.01,75,96,10.09,overcast clouds
69,Talnakh,RU,69.4865,88.3972,56.53,87,100,4.45,overcast clouds
70,Kunigal,IN,13.0222,77.0267,69.22,79,82,11.83,broken clouds
71,Hofn,IS,64.2539,-15.2082,53.65,95,99,3.27,overcast clouds
72,Pacific Grove,US,36.6177,-121.9166,84.16,70,1,5.99,clear sky
73,New Norfolk,AU,-42.7826,147.0587,41.72,85,31,2.73,scattered clouds
74,Tazovskiy,RU,67.4667,78.7,52.88,73,100,9.37,overcast clouds
75,Bubaque,GW,11.2833,-15.8333,79.79,81,89,19.35,light rain
76,Port Alfred,ZA,-33.5906,26.891,61.25,82,46,25.37,scattered clouds
77,Pevek,RU,69.7008,170.3133,33.73,95,100,16.2,overcast clouds
78,Kasulu,TZ,-4.5767,30.1025,66.79,50,51,2.04,broken clouds
79,Saint Anthony,US,45.0205,-93.218,79.79,37,75,10.36,broken clouds
80,Zhigansk,RU,66.7697,123.3711,67.1,59,40,15.64,scattered clouds
81,Lebu,CL,-37.6167,-73.65,50.11,77,39,16.55,scattered clouds
82,Uppsala,SE,60.0,17.75,59.43,79,90,4.61,overcast clouds
83,Shitanjing,CN,39.2342,106.3439,70.54,28,57,8.77,broken clouds
84,Airai,TL,-8.9266,125.4092,61.36,74,21,3.74,few clouds
85,Puerto Escondido,MX,15.85,-97.0667,85.59,72,74,5.01,broken clouds
86,Goderich,CA,43.7501,-81.7165,65.21,72,73,6.91,broken clouds
87,Porto Novo,BJ,6.4965,2.6036,78.62,88,56,4.97,broken clouds
88,Zhangye,CN,38.9342,100.4517,71.29,42,100,16.35,overcast clouds
89,Bredasdorp,ZA,-34.5322,20.0403,56.52,82,86,2.3,overcast clouds
90,Aljezur,PT,37.3191,-8.8033,64.69,97,42,7.52,scattered clouds
91,Padang,ID,-0.9492,100.3543,75.25,91,98,5.57,light rain
92,Nsanje,MW,-16.92,35.262,61.63,78,0,1.95,clear sky
93,Mackay,AU,-21.15,149.2,74.68,77,1,2.64,clear sky
94,Port Hawkesbury,CA,45.6169,-61.3485,69.58,73,75,4.61,broken clouds
95,Christchurch,NZ,-43.5333,172.6333,53.91,82,75,8.99,broken clouds
96,Qaanaaq,GL,77.484,-69.3632,42.37,84,86,1.34,overcast clouds
97,Okhtyrka,UA,50.3104,34.8988,71.49,53,14,5.01,few clouds
98,Bambous Virieux,MU,-20.3428,57.7575,68.25,88,75,6.91,broken clouds
99,Pangnirtung,CA,66.1451,-65.7125,52.99,72,100,3.11,overcast clouds
100,Roald,NO,62.5833,6.1333,53.91,81,90,3.44,overcast clouds
101,Poysdorf,AT,48.6667,16.6333,62.91,87,98,10.16,overcast clouds
102,Ouricuri,BR,-7.8825,-40.0817,74.82,48,80,13.33,broken clouds
103,Nanortalik,GL,60.1432,-45.2371,48.15,80,100,11.1,overcast clouds
104,Butaritari,KI,3.0707,172.7902,83.08,68,9,10.07,clear sky
105,Rabo De Peixe,PT,37.8,-25.5833,72.91,94,75,11.5,broken clouds
106,Kahului,US,20.8947,-156.47,87.06,61,20,32.21,few clouds
107,Puri,IN,19.8,85.85,83.37,76,93,7.18,overcast clouds
108,Atuona,PF,-9.8,-139.0333,77.11,69,31,10.36,scattered clouds
109,Guaruja,BR,-23.9931,-46.2564,65.32,26,86,2.95,overcast clouds
110,East London,ZA,-33.0153,27.9116,62.44,63,31,19.48,scattered clouds
111,Sajanan,TN,37.0573,9.2426,76.12,91,42,4.16,scattered clouds
112,Mumford,GH,5.2618,-0.759,74.98,93,30,6.64,scattered clouds
113,Jamestown,US,42.097,-79.2353,69.12,72,1,4.0,clear sky
114,Gold Coast,AU,-28.0,153.4333,73.99,77,75,7.0,broken clouds
115,Kununurra,AU,-15.7667,128.7333,71.58,88,23,1.14,few clouds
116,Arrifes,PT,37.7667,-25.7,71.85,94,75,11.5,broken clouds
117,Hilo,US,19.7297,-155.09,79.25,79,74,3.0,light rain
118,Coahuayana,MX,18.7333,-103.6833,94.48,65,11,6.02,few clouds
119,Kavieng,PG,-2.5744,150.7967,83.28,74,4,8.88,clear sky
120,Faanui,PF,-16.4833,-151.75,77.63,68,30,14.38,scattered clouds
121,Puerto Lopez,CO,4.0845,-72.956,72.61,86,30,6.96,scattered clouds
122,Srandakan,ID,-7.9386,110.2506,75.07,87,48,6.6,scattered clouds
123,Kapaa,US,22.0752,-159.319,84.52,77,90,5.01,light rain
124,Gabu,GW,12.2833,-14.2167,73.29,97,92,6.4,overcast clouds
125,Punta Arenas,CL,-53.15,-70.9167,42.91,70,40,23.02,scattered clouds
126,Hamina,FI,60.5697,27.1979,58.28,77,39,13.4,scattered clouds
127,Cidreira,BR,-30.1811,-50.2056,56.86,93,90,8.03,overcast clouds
128,Soloneshnoye,RU,51.6544,84.3197,58.01,69,12,6.11,few clouds
129,Aden,YE,12.7794,45.0367,81.82,83,86,4.07,overcast clouds
130,Katsuura,JP,35.1333,140.3,84.31,76,4,5.3,clear sky
131,Warman,CA,52.3168,-106.5679,95.86,19,75,4.61,broken clouds
132,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,49.87,93,35,5.46,scattered clouds
133,Marsh Harbour,BS,26.5412,-77.0636,84.92,72,70,10.42,broken clouds
134,Shingu,JP,33.7333,135.9833,83.91,77,68,3.94,broken clouds
135,Nurota,UZ,40.5614,65.6886,69.89,15,0,5.91,clear sky
136,Avarua,CK,-21.2078,-159.775,77.05,88,75,13.8,moderate rain
137,Maraa,BR,-1.8333,-65.3667,77.74,61,93,1.1,overcast clouds
138,Mogocha,RU,53.7333,119.7667,51.24,90,62,1.77,broken clouds
139,Ilulissat,GL,69.2167,-51.1,60.82,36,1,19.57,clear sky
140,Sechura,PE,-5.5569,-80.8222,70.14,67,5,19.98,clear sky
141,Ambilobe,MG,-13.2,49.05,67.42,81,7,2.71,clear sky
142,Arraial Do Cabo,BR,-22.9661,-42.0278,64.26,77,0,6.91,clear sky
143,Akyab,MM,20.15,92.9,79.61,87,100,2.93,overcast clouds
144,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,22,0,12.66,clear sky
145,Codrington,AU,-38.2667,141.9667,46.09,81,0,16.78,clear sky
146,Lagoa,PT,39.05,-27.9833,71.85,95,37,15.39,scattered clouds
147,Port Keats,AU,-14.25,129.55,75.6,83,68,4.43,broken clouds
148,Saint-Leu,RE,-21.15,55.2833,67.03,66,19,2.91,few clouds
149,Nikolskoye,RU,59.7035,30.7861,62.02,93,40,4.9,light rain
150,Narsaq,GL,60.9167,-46.05,64.62,77,100,4.72,light rain
151,Bayshore Gardens,US,27.4253,-82.5904,90.16,62,20,9.22,few clouds
152,Pangkalanbuun,ID,-2.6833,111.6167,72.99,97,74,1.52,broken clouds
153,Pitimbu,BR,-7.4706,-34.8086,73.99,78,4,16.8,clear sky
154,Kenai,US,60.5544,-151.2583,75.02,53,1,8.05,clear sky
155,Kiama,AU,-34.6833,150.8667,54.25,87,7,1.01,clear sky
156,Cradock,ZA,-32.1642,25.6192,50.76,28,29,2.01,scattered clouds
157,Barda,AZ,40.3744,47.1267,76.59,51,96,3.89,overcast clouds
158,Provideniya,RU,64.3833,-173.3,44.71,76,90,20.13,overcast clouds
159,Saint George,US,37.1041,-113.5841,98.64,26,1,8.99,clear sky
160,Mar Del Plata,AR,-38.0023,-57.5575,44.13,31,47,1.99,fog
161,Stephenville,US,32.2207,-98.2023,86.61,77,1,0.0,clear sky
162,Hay River,CA,60.8156,-115.7999,82.38,39,75,6.91,broken clouds
163,Nekhayevskiy,RU,50.4106,41.7561,74.62,61,59,3.0,broken clouds
164,Msanga,TZ,-6.05,36.0333,59.92,75,49,4.9,scattered clouds
165,Rancho Palos Verdes,US,33.7445,-118.387,102.52,75,1,5.01,clear sky
166,Olafsvik,IS,64.8945,-23.7142,53.78,92,100,2.39,overcast clouds
167,Nouadhibou,MR,20.931,-17.0347,75.18,73,0,13.8,clear sky
168,Mount Gambier,AU,-37.8333,140.7667,46.29,81,23,12.35,few clouds
169,Lazaro Cardenas,MX,17.9583,-102.2,86.09,72,8,10.56,clear sky
170,Vaini,TO,-21.2,-175.2,73.56,83,75,21.85,light intensity shower rain
171,Havelock,US,34.8791,-76.9013,75.18,94,90,4.61,thunderstorm with light rain
172,Deputatskiy,RU,69.3,139.9,45.86,65,8,5.7,clear sky
173,Hami,CN,42.8,93.45,68.04,45,63,6.13,broken clouds
174,Waynesville,US,35.4887,-82.9887,79.09,76,91,1.01,overcast clouds
175,Upernavik,GL,72.7868,-56.1549,42.69,80,20,11.59,few clouds
176,Lukulu,ZM,-14.3707,23.242,56.32,52,1,5.73,clear sky
177,Mutata,CO,7.2441,-76.4356,77.88,96,98,2.04,light rain
178,Puerto Armuelles,PA,8.2833,-82.8667,85.82,85,100,9.33,overcast clouds
179,Anju,KP,39.6178,125.6647,71.64,97,100,4.18,light rain
180,Juneau,US,58.3019,-134.4197,75.2,77,40,10.36,scattered clouds
181,Faya,SA,18.3851,42.4509,66.31,68,98,3.62,overcast clouds
182,Kruisfontein,ZA,-34.0033,24.7314,54.88,77,86,15.12,overcast clouds
183,Fairbanks,US,64.8378,-147.7164,79.02,49,90,3.44,overcast clouds
184,Chokurdakh,RU,70.6333,147.9167,42.28,63,39,8.32,scattered clouds
185,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,10.36,scattered clouds
186,Longyearbyen,SJ,78.2186,15.6401,42.35,85,99,6.73,overcast clouds
187,Hokitika,NZ,-42.7167,170.9667,52.25,87,83,0.51,broken clouds
188,Boralday,KZ,43.3578,76.8594,62.46,51,75,0.0,broken clouds
189,Constantine,DZ,36.365,6.6147,72.81,83,0,8.05,clear sky
190,Dinghai,CN,26.2847,119.7936,79.72,86,100,4.7,overcast clouds
191,Karratha,AU,-20.7377,116.8463,59.11,52,0,11.74,clear sky
192,Slave Lake,CA,55.2834,-114.769,76.98,73,40,4.61,scattered clouds
193,Pueblo Nuevo,MX,23.3833,-105.3833,65.8,88,71,2.59,broken clouds
194,Digoin,FR,46.4812,3.9795,56.8,90,0,2.3,clear sky
195,Ngunguru,NZ,-35.6167,174.5,59.16,79,32,9.19,scattered clouds
196,Zambezi,ZM,-13.5432,23.1047,56.98,51,2,5.77,clear sky
197,Nuuk,GL,64.1835,-51.7216,59.61,58,90,5.75,overcast clouds
198,Harper,LR,4.375,-7.7169,76.55,77,87,6.26,overcast clouds
199,Khatanga,RU,71.9667,102.5,63.79,68,38,9.4,scattered clouds
200,Mahon,ES,39.8885,4.2658,70.36,78,0,4.61,clear sky
201,Santarem,BR,-2.4431,-54.7083,77.13,88,40,1.83,thunderstorm
202,Laguna,US,38.421,-121.4238,107.2,25,1,7.0,clear sky
203,Hambantota,LK,6.1241,81.1185,79.05,82,100,15.5,overcast clouds
204,Gezing,AT,47.9178,13.1299,57.02,98,75,2.3,light rain
205,Barranca,PE,-10.75,-77.7667,64.69,79,9,8.75,clear sky
206,Ponta Do Sol,PT,32.6667,-17.1,72.23,68,1,7.54,clear sky
207,Yellowknife,CA,62.456,-114.3525,89.33,29,20,1.01,few clouds
208,Arys,KZ,42.4252,68.795,77.22,14,91,13.11,overcast clouds
209,Buraydah,SA,26.326,43.975,90.05,10,6,5.08,clear sky
210,Tonstad,NO,58.6626,6.7169,54.25,84,87,2.84,overcast clouds
211,Ixtapa,MX,20.7,-105.2,89.22,66,20,13.8,few clouds
212,Arinos,BR,-15.9169,-46.1056,69.51,47,73,3.69,broken clouds
213,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,64.99,59,0,8.95,clear sky
214,Bardiyah,LY,31.7561,25.0865,79.72,77,0,13.73,clear sky
215,Makamba,BI,-4.1348,29.804,64.33,50,51,2.17,broken clouds
216,Buzdyak,RU,54.5833,54.55,64.06,62,69,4.03,broken clouds
217,Touros,BR,-5.1989,-35.4608,77.9,73,5,18.84,clear sky
218,Aitape,PG,-3.1374,142.3475,80.1,83,39,3.33,scattered clouds
219,Yatou,CN,37.15,122.3833,76.53,79,0,1.92,clear sky
220,Chapais,CA,49.7834,-74.8492,60.58,69,98,6.76,overcast clouds
221,San Cristobal,VE,7.7669,-72.225,77.18,97,81,5.93,broken clouds
222,Gidole,ET,5.65,37.3667,58.35,56,88,2.73,overcast clouds
223,Paamiut,GL,61.994,-49.6678,46.94,92,100,5.55,overcast clouds
224,Praya,CV,14.9215,-23.5087,77.54,73,75,6.91,broken clouds
225,Baruun-Urt,MN,46.6806,113.2792,61.93,53,1,7.49,clear sky
226,Chuy,UY,-33.6971,-53.4616,49.6,93,25,5.5,scattered clouds
227,Hope,US,33.6671,-93.5916,89.65,69,95,5.77,overcast clouds
228,Vallenar,CL,-28.5708,-70.7581,70.45,28,0,0.96,clear sky
229,Bor,RU,56.3567,44.0669,67.93,69,97,7.52,overcast clouds
230,Zaraza,VE,9.3503,-65.3245,74.43,95,48,5.23,scattered clouds
231,Dataganj,IN,28.0333,79.4,81.07,86,99,10.36,overcast clouds
232,Westport,US,41.1415,-73.3579,74.8,61,75,1.01,broken clouds
233,Qianguo,CN,45.1171,124.8568,65.98,85,100,9.48,overcast clouds
